entry_t,R,net,year,sym,eq
2020-01-01 02:00:00+00:00,-1.0695070118584113,-0.6154815079877365,2020,BTCUSDT,9893.04929881416
2020-01-02 07:00:00+00:00,-1.062570383646781,-0.6792800821840229,2020,BTCUSDT,9787.928686925385
2020-01-03 08:00:00+00:00,0.7045667047634246,0.6203086974824815,2020,BTCUSDT,9856.891173539449
2020-01-23 11:00:00+00:00,0.7239972565836884,1.1137244174466985,2020,BTCUSDT,9928.254795220315
2020-01-27 11:00:00+00:00,0.7200607194456305,0.9620280863302737,2020,BTCUSDT,9999.744258127173
2020-02-16 16:00:00+00:00,-1.0250808038358405,-1.6348452155604258,2020,BTCUSDT,9897.238799304434
2020-02-19 11:00:00+00:00,-1.0247497969478105,-1.6561748754685728,2020,BTCUSDT,9795.816864805121
2020-03-05 19:00:00+00:00,-1.0257598986733432,-1.5928011389809047,2020,BTCUSDT,9695.33530365847
2020-03-08 01:00:00+00:00,0.722290358312746,1.0426556452297842,2020,BTCUSDT,9765.363775762888
2020-03-20 08:00:00+00:00,0.7421419373783876,3.7777349105732525,2020,BTCUSDT,9837.836635680382
2020-03-28 17:00:00+00:00,-1.0102667612890959,-3.9360679881087104,2020,BTCUSDT,9738.448242120181
2020-04-01 23:00:00+00:00,0.7356977609728924,2.057573669628921,2020,BTCUSDT,9810.093787790962
2020-04-13 00:00:00+00:00,0.7320499111552886,1.6313009199861894,2020,BTCUSDT,9881.908570648737
2020-04-16 22:00:00+00:00,-1.0187146226320467,-2.1773661006396305,2020,BTCUSDT,9781.240123044408
2020-04-20 19:00:00+00:00,-1.0206148429771487,-1.98034948722819,2020,BTCUSDT,9681.411334521381
2020-04-23 01:00:00+00:00,-1.0240068350019442,-1.7061921488926253,2020,BTCUSDT,9582.273020731229
2020-05-10 00:00:00+00:00,0.7356146317230992,2.045452344530669,2020,BTCUSDT,9652.761623123382
2020-05-14 05:00:00+00:00,0.7352649658087888,1.995964057544803,2020,BTCUSDT,9723.734997571244
2020-05-21 14:00:00+00:00,0.7332730855513288,1.7535166758973317,2020,BTCUSDT,9795.036529218769
2020-05-28 12:00:00+00:00,0.7269874699153791,1.26363762218604,2020,BTCUSDT,9866.245217459824
2020-06-11 16:00:00+00:00,-1.0259067459406346,-1.5839993927319276,2020,BTCUSDT,9765.02674220286
2020-06-22 16:00:00+00:00,0.712478221604812,0.7595356639025211,2020,BTCUSDT,9834.60043107494
2020-06-24 14:00:00+00:00,0.7157130470830915,0.8349683902416905,2020,BTCUSDT,9904.987949488632
2020-07-06 12:00:00+00:00,0.7047014434422058,0.6222727583322543,2020,BTCUSDT,9974.788542541455
2020-07-16 07:00:00+00:00,0.6961407677137396,0.5170075681834968,2020,BTCUSDT,10044.227112079325
2020-07-21 07:00:00+00:00,0.6815456696032153,0.3982483887594804,2020,BTCUSDT,10112.683107006813
2020-08-11 20:00:00+00:00,-1.0219678976202764,-1.8608387844579077,2020,BTCUSDT,10009.334732065134
2020-08-15 00:00:00+00:00,-1.0245229337009825,-1.671126213842738,2020,BTCUSDT,9906.78680222423
2020-08-21 21:00:00+00:00,0.7234571259104684,1.0902468564183048,2020,BTCUSDT,9978.458157293679
2020-09-01 05:00:00+00:00,0.7111085099825898,0.7313769769831444,2020,BTCUSDT,10049.415822415247
2020-09-02 11:00:00+00:00,0.7174350073103035,0.8812346609705206,2020,BTCUSDT,10121.513849555435
2020-09-14 13:00:00+00:00,0.7208454089993738,0.9889974570164815,2020,BTCUSDT,10194.47431746119
2020-09-21 12:00:00+00:00,0.7180898667289685,0.9001402289734222,2020,BTCUSDT,10267.679804501166
2020-09-28 00:00:00+00:00,-1.0352607901470139,-1.1744045278970443,2020,BTCUSDT,10161.382541427321
2020-10-01 16:00:00+00:00,-1.0356814289170586,-1.161031337982009,2020,BTCUSDT,10056.142989524538
2020-10-08 14:00:00+00:00,0.7039346266032589,0.6112483843693838,2020,BTCUSDT,10126.931662128538
2020-11-26 08:00:00+00:00,-1.0140880983939253,-2.8792760244525053,2020,BTCUSDT,10024.235653410406
2020-11-30 01:00:00+00:00,0.7335017757552134,1.778377514748588,2020,BTCUSDT,10097.763599934058
2020-12-08 22:00:00+00:00,0.7294887979428937,1.4226153999397733,2020,BTCUSDT,10171.425654238334
2020-12-13 07:00:00+00:00,0.7269639378297078,1.262305914015491,2020,BTCUSDT,10245.368250707807
2021-01-11 06:00:00+00:00,-1.0072785865542846,-5.535572485354786,2021,BTCUSDT,10142.168850204796
2021-01-14 13:00:00+00:00,-1.0081476432915752,-4.949395093592294,2021,BTCUSDT,10039.920813962804
2021-01-21 08:00:00+00:00,0.7408748379865565,3.24761286164597,2021,BTCUSDT,10114.30406102723
2021-01-29 08:00:00+00:00,-1.010536829412984,-3.8362083689720072,2021,BTCUSDT,10012.095293451735
2021-02-23 05:00:00+00:00,0.7389346945073378,2.6711768418770174,2021,BTCUSDT,10086.078139222187
2021-03-03 09:00:00+00:00,-1.0118604374935094,-3.4125568742206864,2021,BTCUSDT,9984.021104836716
2021-03-22 20:00:00+00:00,0.7345745172428233,1.9048337839567575,2021,BTCUSDT,10057.361179668991
2021-03-29 09:00:00+00:00,0.7323658334705602,1.661242865656026,2021,BTCUSDT,10131.01785669762
2021-04-07 11:00:00+00:00,0.7281846646320808,1.3351794090737144,2021,BTCUSDT,10204.790375101227
2021-04-10 04:00:00+00:00,-1.0244505749452968,-1.6759533503605588,2021,BTCUSDT,10100.24734143154
2021-04-18 01:00:00+00:00,0.7300460411169561,1.4634610513051103,2021,BTCUSDT,10173.98379729068
2021-04-30 13:00:00+00:00,0.7328304946904758,1.7072838884506876,2021,BTCUSDT,10248.541853082095
2021-05-04 15:00:00+00:00,0.732917790168802,1.7162130600462344,2021,BTCUSDT,10323.655239556228
2021-05-06 10:00:00+00:00,-1.0175066098972076,-2.3248512781666624,2021,BTCUSDT,10218.611365110744
2021-05-11 02:00:00+00:00,-1.0153328416857579,-2.648779300001146,2021,BTCUSDT,10114.858447956542
2021-06-03 10:00:00+00:00,-1.0118970493858592,-3.4021781924805623,2021,BTCUSDT,10012.506493772113
2021-06-05 21:00:00+00:00,-1.0112729674452294,-3.5883114977793573,2021,BTCUSDT,9911.252722236897
2021-06-10 10:00:00+00:00,-1.012189618250763,-3.321480943629722,2021,BTCUSDT,9810.93205114382
2021-06-18 15:00:00+00:00,0.7358642745151881,2.082282300419153,2021,BTCUSDT,9883.127195105148
2021-06-29 12:00:00+00:00,-1.0122157329191352,-3.3144658273710426,2021,BTCUSDT,9783.088626731884
2021-07-08 05:00:00+00:00,0.7331133852562552,1.736555008523118,2021,BTCUSDT,9854.809758945938
2021-07-23 01:00:00+00:00,-1.0214333077468183,-1.9062541718945887,2021,BTCUSDT,9754.14944965298
2021-08-19 03:00:00+00:00,-1.0184065336373187,-2.213141384910263,2021,BTCUSDT,9654.812554356966
2021-08-20 00:00:00+00:00,0.7302856481187197,1.4817340230437128,2021,BTCUSDT,9725.3202647942
2021-08-31 00:00:00+00:00,-1.0226952026865417,-1.802487013333437,2021,BTCUSDT,9625.859881000248
2021-09-02 01:00:00+00:00,0.7266274799465379,1.2435586377240497,2021,BTCUSDT,9695.804024076744
2021-09-07 14:00:00+00:00,0.7286513548123805,1.3652413975851614,2021,BTCUSDT,9766.45263145813
2021-09-15 15:00:00+00:00,-1.0206477673729502,-1.9772554561227031,2021,BTCUSDT,9666.771550723617
2021-09-20 02:00:00+00:00,0.7276739054770572,1.3037191161746378,2021,BTCUSDT,9737.114124800313
2021-10-01 07:00:00+00:00,0.7319048489156559,1.6179027088619544,2021,BTCUSDT,9808.380535224178
2021-10-27 08:00:00+00:00,0.7306424343201255,1.5097816459013869,2021,BTCUSDT,9880.044725534122
2021-11-02 09:00:00+00:00,0.7292459666116251,1.4055021555860183,2021,BTCUSDT,9952.094553194505
2021-11-16 00:00:00+00:00,0.7270793856005214,1.268865437773018,2021,BTCUSDT,10024.454181126255
2021-11-29 17:00:00+00:00,-1.020766078240202,-1.9662183035871679,2021,BTCUSDT,9922.127953316587
2021-12-03 16:00:00+00:00,0.7314648207214158,1.578543826800887,2021,BTCUSDT,9994.704828762064
2021-12-21 22:00:00+00:00,-1.0195313823584229,-2.087986121307482,2021,BTCUSDT,9892.805676458742
2021-12-28 17:00:00+00:00,0.7273441731586039,1.284162662877737,2021,BTCUSDT,9964.760422108367
2022-02-01 16:00:00+00:00,-1.018766149967522,-2.171497407258643,2022,BTCUSDT,9863.242816002567
2022-02-03 10:00:00+00:00,-1.0190500330032681,-2.1397338951138747,2022,BTCUSDT,9762.7314368309
2022-02-04 15:00:00+00:00,0.7300861278675074,1.4664875279102625,2022,BTCUSDT,9834.007784752162
2022-02-17 17:00:00+00:00,0.7282858682823072,1.3415887455244662,2022,BTCUSDT,9905.627473734294
2022-02-28 15:00:00+00:00,0.7344783421390442,1.8927832290044206,2022,BTCUSDT,9978.382162181848
2022-03-04 20:00:00+00:00,0.7351024632431741,1.973755729533893,2022,BTCUSDT,10051.733495247865
2022-03-09 03:00:00+00:00,0.7333645861820073,1.7633816488263423,2022,BTCUSDT,10125.449348999407
2022-03-11 02:00:00+00:00,-1.0153092422875338,-2.652800767584162,2022,BTCUSDT,10022.644725935874
2022-03-16 02:00:00+00:00,-1.0192238149883521,-2.1207524429587052,2022,BTCUSDT,9920.491543997461
2022-04-01 02:00:00+00:00,-1.0253841774770347,-1.6157847594702863,2022,BTCUSDT,9818.768393377364
2022-04-02 00:00:00+00:00,-1.025824697167906,-1.5889049006046256,2022,BTCUSDT,9718.045042240383
2022-04-06 11:00:00+00:00,0.7245566612934324,1.139090540985336,2022,BTCUSDT,9788.45778494143
2022-04-20 10:00:00+00:00,-1.0289577263794631,-1.4213239159676594,2022,BTCUSDT,9687.738692269884
2022-04-22 14:00:00+00:00,0.7251768364310587,1.168548616967418,2022,BTCUSDT,9757.991929240194
2022-05-04 19:00:00+00:00,-1.0249879390821428,-1.6407722713148976,2022,BTCUSDT,9657.973688868873
2022-05-05 15:00:00+00:00,0.7274298921725837,1.2891917003408606,2022,BTCUSDT,9728.228676459868
2022-05-30 02:00:00+00:00,0.7264151774374883,1.2320044817163636,2022,BTCUSDT,9798.896006061497
2022-06-07 02:00:00+00:00,-1.0230146926364085,-1.7780201696337699,2022,BTCUSDT,9698.651860203327
2022-06-07 19:00:00+00:00,0.7262448585090838,1.2228845006657518,2022,BTCUSDT,9769.087820682747
2022-06-10 13:00:00+00:00,0.728664579144119,1.3661124082176592,2022,BTCUSDT,9840.271703337545
2022-07-07 14:00:00+00:00,0.7310834312470788,1.5459112924677274,2022,BTCUSDT,9912.21229935034
2022-07-11 22:00:00+00:00,0.7316927315510863,1.598693401132701,2022,BTCUSDT,9984.7392362806
2022-07-15 19:00:00+00:00,-1.0181959542790282,-2.2382908610680756,2022,BTCUSDT,9883.07502533148
2022-07-25 23:00:00+00:00,0.7333123656585689,1.757738336435,2022,BTCUSDT,9955.54883659955
2022-07-27 19:00:00+00:00,0.7311393346225358,1.5506119640850944,2022,BTCUSDT,10028.337770121487
2022-08-17 14:00:00+00:00,0.7259188175530595,1.205786001833628,2022,BTCUSDT,10101.135361082579
2022-09-09 04:00:00+00:00,0.7239830036554933,1.1130923709544365,2022,BTCUSDT,10174.265864273053
2022-09-13 18:00:00+00:00,0.7308880619157668,1.5296995180593018,2022,BTCUSDT,10248.628358862596
2022-09-27 01:00:00+00:00,0.728451148554422,1.352185568486818,2022,BTCUSDT,10323.284609853805
2022-09-28 02:00:00+00:00,-1.0186582496760082,-2.1838238149119698,2022,BTCUSDT,10218.125619537996
2022-09-30 14:00:00+00:00,-1.0194179484653292,-2.0999498485342247,2022,BTCUSDT,10113.960212975691
2022-10-10 08:00:00+00:00,0.7176814434850121,0.8882592799615694,2022,BTCUSDT,10186.546228625675
2022-10-14 01:00:00+00:00,-1.0299294138627495,-1.376477893734649,2022,BTCUSDT,10081.631992760333
2022-10-20 00:00:00+00:00,-1.0345975247164956,-1.1961520752647574,2022,BTCUSDT,9977.327677712208
2022-10-23 17:00:00+00:00,0.70473215244551,0.6227220338649492,2022,BTCUSDT,10047.641113811891
2022-11-08 03:00:00+00:00,0.7170383171353981,0.8701477046312314,2022,BTCUSDT,10119.686550566172
2022-11-30 00:00:00+00:00,0.7160924850032391,0.8447596175321551,2022,BTCUSDT,10192.152865460659
2022-12-16 09:00:00+00:00,0.7120632682539884,0.75079031374794,2022,BTCUSDT,10264.727442259902
2023-01-04 03:00:00+00:00,-1.0741132326436464,-0.5797146848570123,2023,BTCUSDT,10154.472646507784
2023-02-06 05:00:00+00:00,-1.03256260144777,-1.2684030827254247,2023,BTCUSDT,10049.6213595857
2023-02-15 12:00:00+00:00,0.7150474132493302,0.8183055730324496,2023,BTCUSDT,10121.48091715877
2023-02-24 15:00:00+00:00,0.7262407045965571,1.2226637065867174,2023,BTCUSDT,10194.987231487148
2023-03-12 23:00:00+00:00,0.7265914626321465,1.2415837029270462,2023,BTCUSDT,10269.06313832757
2023-04-19 08:00:00+00:00,0.7165228426194794,0.8561334338815806,2023,BTCUSDT,10342.643321436703
2023-04-26 09:00:00+00:00,0.7196601853279521,0.948799711675202,2023,BTCUSDT,10417.075207531561
2023-05-01 15:00:00+00:00,0.7231521626335067,1.0774084374274675,2023,BTCUSDT,10492.406512177984
2023-05-05 16:00:00+00:00,-1.0279213320302256,-1.4725964089642594,2023,BTCUSDT,10384.552827395979
2023-05-08 01:00:00+00:00,0.721049328514711,0.9962453946964338,2023,BTCUSDT,10459.430575827173
2023-05-28 03:00:00+00:00,0.7060598907964125,0.6427475066345704,2023,BTCUSDT,10533.280419928786
2023-06-01 02:00:00+00:00,-1.0367691897640954,-1.127867321978888,2023,BTCUSDT,10424.07461386351
2023-06-16 18:00:00+00:00,0.71681751804524,0.864091503489733,2023,BTCUSDT,10498.79620678979
2023-07-06 23:00:00+00:00,-1.0335363706789653,-1.2327349081064671,2023,BTCUSDT,10390.287329509154
2023-07-10 19:00:00+00:00,0.7062120929212267,0.645120664617077,2023,BTCUSDT,10463.66479511941
2023-07-14 18:00:00+00:00,-1.0346355216213996,-1.194883718433331,2023,BTCUSDT,10355.404002285712
2023-08-01 23:00:00+00:00,0.694016421430527,0.4958714245601746,2023,BTCUSDT,10427.272206567048
2023-08-07 15:00:00+00:00,0.6847579691914222,0.4198262749977992,2023,BTCUSDT,10498.673783970798
2023-08-08 12:00:00+00:00,-1.064300705926429,-0.6620771517775706,2023,BTCUSDT,10386.936324775084
2023-08-16 05:00:00+00:00,0.6745797669312761,0.3577712449212871,2023,BTCUSDT,10457.004495626054
2023-08-29 14:00:00+00:00,-1.0500104128320245,-0.8398334293770495,2023,BTCUSDT,10347.204859551666
2023-08-31 16:00:00+00:00,0.7121682195658504,0.7529840905113724,2023,BTCUSDT,10420.894364174766
2023-09-07 22:00:00+00:00,-1.046246489548116,-0.9049305145287414,2023,BTCUSDT,10311.86612271007
2023-09-11 11:00:00+00:00,0.6978880189021816,0.5356833528107013,2023,BTCUSDT,10383.831400905696
2023-09-12 13:00:00+00:00,0.7078676747206402,0.6720423523051222,2023,BTCUSDT,10457.335186790198
2023-09-24 23:00:00+00:00,0.6984331697877894,0.5417693249040583,2023,BTCUSDT,10530.372684410631
2023-09-27 11:00:00+00:00,-1.0531666539825848,-0.7923512766686869,2023,BTCUSDT,10419.470310758328
2023-10-11 02:00:00+00:00,0.7061703811111194,0.6444686483826774,2023,BTCUSDT,10493.04952396157
2023-10-16 05:00:00+00:00,-1.0503406304025373,-0.8345867916263505,2023,BTCUSDT,10382.836761443143
2023-11-14 18:00:00+00:00,-1.029420297845322,-1.399605542075109,2023,BTCUSDT,10275.953732328702
2023-11-15 18:00:00+00:00,0.7195573271060087,0.9454588033208303,2023,BTCUSDT,10349.895110339696
2023-11-21 23:00:00+00:00,-1.0275482449325188,-1.491998125397197,2023,BTCUSDT,10243.544944781044
2023-11-22 20:00:00+00:00,-1.0288681150930712,-1.4256117682446345,2023,BTCUSDT,10138.152376988965
2023-12-11 17:00:00+00:00,0.721081078280956,0.9973830771236545,2023,BTCUSDT,10211.256675466722
2023-12-14 11:00:00+00:00,-1.027970856529545,-1.4700598895764565,2023,BTCUSDT,10106.287932757496
2023-12-18 01:00:00+00:00,0.7215437842041663,1.0142512122919831,2023,BTCUSDT,10179.209225150084
2023-12-19 01:00:00+00:00,-1.028273221509646,-1.4547662651867665,2023,BTCUSDT,10074.539142526426
2023-12-26 09:00:00+00:00,0.7164770281981953,0.8549087263911639,2023,BTCUSDT,10146.720901179464
2024-01-01 19:00:00+00:00,0.7156240971396146,0.8327043511218378,2024,BTCUSDT,10219.333281017805
2024-01-03 14:00:00+00:00,-1.0241378042357847,-1.6971515623073654,2024,BTCUSDT,10114.673225546054
2024-01-08 12:00:00+00:00,0.7243571833278337,1.1299182809571469,2024,BTCUSDT,10187.939587625435
2024-01-12 16:00:00+00:00,0.7331312225542688,1.7384335644069764,2024,BTCUSDT,10262.630553677283
2024-01-26 16:00:00+00:00,0.7223010421802916,1.043073240346044,2024,BTCUSDT,10336.757641121609
2024-03-15 08:00:00+00:00,0.7332185009616239,1.7476829674986538,2024,BTCUSDT,10412.548660545875
2024-03-25 14:00:00+00:00,0.7312317974308408,1.5584482205715915,2024,BTCUSDT,10488.688527274746
2024-04-02 02:00:00+00:00,0.7249397920576539,1.1571169620387256,2024,BTCUSDT,10564.725204073946
2024-04-07 01:00:00+00:00,0.7243363321069192,1.128967745568759,2024,BTCUSDT,10641.24934711431
