setup,side,tp,sl,ts,filter,n,exp,win,pf,total,robust,yr_tot
pocket,cont,4.0,3.0,288,volHI,1295,0.04008271106927504,45.40540540540541,1.0726977041046148,51.907110834711176,0.42857142857142855,7
pocket,cont,4.0,3.0,96,volHI,1295,0.0377632937561915,46.02316602316602,1.0733350942214388,48.90346541426799,0.42857142857142855,7
pocket,cont,4.0,3.0,288,rejWick,494,0.032657093538439604,47.368421052631575,1.0921271765298488,16.132604207989164,0.42857142857142855,7
pocket,cont,3.0,3.0,96,volHI,1295,0.03117115242483605,52.04633204633205,1.067406969409858,40.36664239016268,0.5714285714285714,7
pocket,cont,3.0,3.0,288,volHI,1295,0.029557100002662276,52.35521235521235,1.0617030811226618,38.27644450344765,0.7142857142857143,7
pocket,cont,4.0,3.0,48,volHI,1295,0.028699205932257485,47.25868725868726,1.064234064103245,37.16547168227344,0.5714285714285714,7
pocket,cont,3.0,3.0,48,volHI,1295,0.02585769399855136,51.66023166023166,1.0611213214587163,33.48571372812401,0.5714285714285714,7
fib50,cont,4.0,3.0,288,volSpike,1716,0.02533483495770216,46.50349650349651,1.0678729752686196,43.47457678741691,0.5714285714285714,7
pocket,cont,4.0,3.0,96,rejWick,494,0.022528439222339627,47.57085020242915,1.0662431008517421,11.129048975835776,0.42857142857142855,7
fib50,cont,4.0,3.0,96,volSpike,1716,0.02188768616928687,46.91142191142191,1.0612734207955747,37.55926946649627,0.5714285714285714,7
fib50,cont,4.0,1.5,12,conf0,266,0.021444505267021054,45.11278195488722,1.1231537597568442,5.704238401027601,0.8571428571428571,7
fib50,cont,3.0,3.0,288,volSpike,1716,0.021311209529088288,53.84615384615385,1.0664701215349606,36.5700355519155,0.42857142857142855,7
fib50,cont,3.0,3.0,96,volSpike,1716,0.01903741394976052,53.671328671328666,1.0601590762694308,32.668202337789054,0.42857142857142855,7
fib50,cont,3.0,2.0,96,conf15,1699,0.018877773735566608,43.96703943496174,1.0701377985857268,32.07333757672767,0.5714285714285714,7
fib50,cont,4.0,1.5,24,conf3of3,294,0.018650951219810797,38.435374149659864,1.091633550078313,5.483379658624375,0.5714285714285714,7
fib50,cont,3.0,1.5,12,conf0,266,0.0183628198986844,45.86466165413533,1.1070141978319443,4.884510093050051,0.8571428571428571,7
fib50,cont,3.0,2.0,288,conf15,1699,0.01821151678351487,43.67274867569158,1.0671413164236887,30.941367015191766,0.42857142857142855,7
fib50,cont,3.0,3.0,48,conf15,1699,0.017304648110787007,52.08946439081813,1.0591270729424924,29.400597140227127,0.5714285714285714,7
fib50,cont,1.5,1.5,24,conf3of3,294,0.017207591905415893,55.78231292517006,1.1165510064973534,5.059032020192273,0.7142857142857143,7
fib50,cont,3.0,0.5,24,conf0,266,0.01599499977531944,22.932330827067666,1.1352704092546497,4.254669940234971,0.7142857142857143,7
fib50,cont,3.0,3.0,96,conf15,1699,0.01527786155855601,53.090052972336665,1.0473055288461741,25.95708678798666,0.42857142857142855,7
pocket,fade,2.0,3.0,288,conf1,263,0.0152716044123398,63.11787072243346,1.0654278988156796,4.0164319604453675,0.5,6
fib50,cont,4.0,3.0,48,conf15,1699,0.014443440420086412,46.90994702766333,1.0450773956184332,24.539405273726814,0.5714285714285714,7
fib50,cont,3.0,2.0,12,conf15,1699,0.014370185128042135,48.440258975868154,1.077559328858107,24.414944532543586,0.5714285714285714,7
fib50,cont,3.0,3.0,288,conf15,1699,0.014353364392840396,52.85462036492055,1.0433203477410808,24.386366103435833,0.42857142857142855,7
fib50,cont,3.0,2.0,96,volHI,1396,0.014262860504145337,42.693409742120345,1.0359953406683113,19.91095326378689,0.5714285714285714,7
fib50,cont,3.0,2.0,288,volSpike,1716,0.014086461363306319,44.05594405594406,1.0527601206423935,24.172367699433643,0.2857142857142857,7
