setup,side,filter,tp,sl,ts,n_is,exp_is,win_is,n_oos,exp_oos,win_oos,pf_oos
flip,fade,structAgainst,4.0,3.0,96,331,0.004837590768593495,44.41087613293052,227,-0.06159641090758359,42.290748898678416,0.8165183614013548
pocket,cont,posHigh,2.0,1.0,96,543,0.004829945575578158,36.46408839779006,370,-0.05921211685382624,32.16216216216216,0.6247736786557289
pocket,cont,posHigh,2.0,1.0,288,543,0.004829945575578158,36.46408839779006,370,-0.05921211685382624,32.16216216216216,0.6247736786557289
pocket,cont,structAgainst,3.0,1.0,24,493,0.00408141988379705,30.02028397565923,337,-0.047917344982579484,27.89317507418398,0.6950666881587825
pocket,cont,posHigh,2.0,1.0,24,543,0.003982974008943958,36.46408839779006,370,-0.05404762932374467,34.054054054054056,0.6406699671412811
pocket,cont,bigDisp,3.0,3.0,288,1215,0.0038952649446673563,51.68724279835391,887,-0.05021545587492237,48.47801578354002,0.8305185523718377
pocket,cont,sweep,2.0,2.0,24,89,0.0037839945473510986,52.80898876404494,62,-0.03740057454596032,53.2258064516129,0.7938174603032914
pocket,cont,structAlign,3.0,3.0,96,411,0.0035224046247220595,48.9051094890511,323,-0.048033441376337666,48.91640866873065,0.8347232533353195
pocket,cont,posHigh,1.0,2.0,288,543,0.003398714400492787,68.50828729281768,370,-0.03483221431556769,68.64864864864865,0.7386438313068115
pocket,cont,posHigh,1.0,2.0,96,543,0.003398714400492787,68.50828729281768,370,-0.03483221431556769,68.64864864864865,0.7386438313068115
pocket,cont,structAlign,1.0,3.0,96,411,0.0030728168064403385,75.669099756691,323,-0.03967011450170584,74.61300309597523,0.7268145840015756
pocket,cont,structAlign,1.0,3.0,288,411,0.0030728168064403385,75.669099756691,323,-0.039583168920441725,74.92260061919505,0.7280374861415365
flip,fade,structAgainst,3.0,2.0,288,331,0.003027550434655466,43.202416918429,227,-0.04826706863908887,40.52863436123348,0.8044524782925654
pocket,cont,structAlign,2.0,3.0,24,411,0.002692693717242798,57.66423357664233,323,-0.05544113369894466,55.417956656346746,0.7479643302341722
pocket,cont,noSweep,3.0,2.0,288,1584,0.002529204367038281,40.71969696969697,1104,-0.05444537995127371,39.221014492753625,0.7790493552625402
pocket,cont,posHigh,4.0,3.0,24,543,0.002504373017181677,48.25046040515654,370,-0.09704985143612163,42.16216216216216,0.6357159773873634
pocket,cont,structAlign,3.0,3.0,24,411,0.00188913489920466,50.60827250608273,323,-0.034450441804256056,50.15479876160991,0.8567066097331781
pocket,cont,structAlign,2.0,3.0,288,411,0.0018696721109630547,59.61070559610706,323,-0.06255189748064179,58.204334365325074,0.747340940596536
pocket,cont,posHigh,1.0,1.5,96,543,0.001659493355379996,63.35174953959485,370,-0.03877912959697542,60.54054054054055,0.69418137832978
pocket,cont,posHigh,1.0,1.5,288,543,0.001659493355379996,63.35174953959485,370,-0.03877912959697542,60.54054054054055,0.69418137832978
pocket,cont,noBOS,3.0,2.0,288,1671,0.0013363309139364531,40.81388390185518,1162,-0.05028346201794557,39.672977624784856,0.7940581477342372
pocket,cont,structAlign,2.0,2.0,288,411,0.0012676080297505782,49.39172749391727,323,-0.0486752672455671,50.15479876160991,0.7629987819678016
pocket,cont,ALL,3.0,2.0,288,1673,0.0012567974092529614,40.82486551105798,1166,-0.05081535168052248,39.62264150943396,0.7920915526661391
pocket,cont,structAlign,4.0,3.0,288,411,0.0010529339803062138,42.579075425790755,323,-0.0051938804314409686,45.20123839009288,0.9835513009648503
flip,fade,sweep,3.0,3.0,96,111,0.0004530666775156737,52.25225225225225,83,-0.03809616089383927,54.21686746987952,0.8557440088863385
flip,fade,structAgainst,4.0,1.5,288,331,0.00042497316970194855,31.1178247734139,227,-0.04650852233346124,27.312775330396477,0.7983230702810298
flip,fade,structAgainst,3.0,1.5,288,331,0.00038564552410266486,37.160120845921455,227,-0.06357680783068968,31.277533039647576,0.7089779188729279
flip,fade,structAgainst,3.0,1.5,96,331,0.00038564552410266486,37.160120845921455,227,-0.06697134930389606,31.277533039647576,0.6934394456825862
pocket,cont,posHigh,1.0,1.5,24,543,0.0003342476422957936,63.16758747697975,370,-0.040020658939484054,59.72972972972973,0.6839511702866837
pocket,cont,posHigh,1.0,2.0,24,543,0.00021508232187489063,67.95580110497238,370,-0.03793734368070046,66.75675675675676,0.7149963280074915
pocket,cont,noSweep,3.0,2.0,96,1584,-0.00010675219807798171,40.53030303030303,1104,-0.05298241631093836,39.039855072463766,0.7831806390400385
pocket,cont,structAgainst,2.0,1.5,24,493,-0.00021501945287478194,44.827586206896555,337,-0.0529938677882644,42.72997032640949,0.6974205364999325
flip,fade,structAgainst,4.0,1.5,96,331,-0.0005279301545282468,31.1178247734139,227,-0.04649197410078801,27.75330396475771,0.7950937921625979
pocket,cont,structAgainst,1.0,2.0,96,493,-0.000576089611083025,69.5740365111562,337,-0.0690213814037438,62.908011869436194,0.5540451267416568
pocket,cont,structAgainst,1.0,2.0,288,493,-0.000576089611083025,69.5740365111562,337,-0.0690213814037438,62.908011869436194,0.5540451267416568
pocket,cont,sweep,3.0,3.0,24,89,-0.0008632918109013412,51.68539325842697,62,0.051771011891196546,58.06451612903226,1.2902702774887262
pocket,cont,noBOS,3.0,2.0,96,1671,-0.0013684204585940201,40.694195092758825,1162,-0.048693392203329494,39.500860585197934,0.7987988606790696
pocket,cont,ALL,3.0,2.0,96,1673,-0.0014447205486062262,40.705319784817696,1166,-0.0492307366508622,39.451114922813034,0.796793615973413
pocket,cont,structAlign,2.0,2.0,96,411,-0.001557998360690743,48.9051094890511,323,-0.0486752672455671,50.15479876160991,0.7629987819678016
pocket,cont,noSweep,4.0,2.0,288,1584,-0.002018013421880625,33.90151515151515,1104,-0.05322263916712062,32.789855072463766,0.8039806061688858
