year,dir,prior_bars,prior_move,extension,runup,recent_pullback,t15,t1h,t4h,htf_conf,e4h,m1_mom,m1_vol,atr_pct,vz,body,rejwick,hour,mfe,mae,cont,hwin,cl
2020,-1,242,3.333872867646702,3.040742935256442,3.2738481498495524,5.097098952936159,-1.0,-1.0,-0.0,-2.0,-0.07289570420721389,2.759587381219378,0.6069679032905098,0.1111609237785289,3.3603412600851628,0.4322125813448763,0.12039045553146978,22,10.22295974981693,1.9733125975793095,1,1,1
2020,1,360,11.438622353288862,15.330868810131596,16.406840521194262,19.785619560940166,-1.0,-1.0,-1.0,-3.0,-3.7289403545220425,0.9387967498014731,2.3440931819835997,0.21213352466256172,8.98611801560493,0.7838737080560657,0.0023361177969728267,4,8.382158908970624,5.955350375316214,0,0,0
2020,-1,778,16.23301073169485,3.9513714928763615,2.3097630325214005,4.513352252432172,-1.0,-1.0,-1.0,-3.0,-2.760794134218526,0.19066036449763168,0.8746403163563744,0.140185538409827,7.4852441989216185,0.3652810682748208,0.0,21,8.442748535505755,18.30146964464661,1,1,5
2020,1,54,2.3372880000047043,5.922163935535971,7.6878016742451445,9.06896237861636,1.0,1.0,1.0,3.0,1.5760651521492124,3.623383820200225,1.3007376672827011,0.16891725137611713,4.668639965804787,0.9504303474657366,0.04287535862288188,2,7.954535861851499,2.0982561760963683,0,0,0
2020,-1,454,17.948687447712054,3.473405296427568,4.205874379700311,6.053244278400126,-1.0,-1.0,-1.0,-3.0,-7.653641213872175,-0.30685133223286937,2.5061210083328493,0.22266356425950581,2.4739518460416234,0.5041743970315361,0.0027829313543574017,15,1.9809356096856474,25.907700485459483,0,0,1
2020,1,7,4.135040102353694,3.2145318297578163,6.330073571227211,8.24463054130018,1.0,1.0,1.0,3.0,5.932402680232991,0.8899907471462997,2.046006389851542,0.23909184574125594,1.7135626327678253,0.7626520895785571,0.09504496561453578,16,25.47246206403118,0.7433422520194993,1,1,2
2020,-1,290,10.518451398327555,3.731701154280505,4.955529320608451,6.602986551985781,-1.0,-1.0,-1.0,-3.0,-10.58072324522446,2.664211768220495,7.4675263248216,0.4009784544306895,4.645632607929556,0.6122800449269961,0.057955821789590196,16,8.571428671125858,0.5743456952628736,1,1,1
2020,1,330,8.598582789966017,4.028923401194461,5.417017946149635,8.447862259436974,-1.0,1.0,1.0,1.0,5.602241000748741,2.102732438985539,3.059208343357442,0.26641401381123636,3.1437377801825552,0.6047090785601085,0.32805071315371875,20,0.5925523661299112,11.46602914492278,0,0,3
2020,-1,9,3.2064800288187922,3.989763876246657,6.348232283145219,8.26863839256723,1.0,-1.0,-1.0,-1.0,-5.602241000748741,2.1323753595181443,2.1397424408181096,0.2864057448218704,7.34282307255886,0.8810980940723873,0.0,20,3.1957664661442022,2.3511806086299067,1,1,0
2020,1,189,1.3574853241676306,3.4844292783526956,0.9738376765625296,4.300231682779303,-1.0,1.0,1.0,1.0,4.493573901467581,0.6907883238862375,1.2903721662132757,0.2632422367559787,1.1580628651853715,0.6229461756374102,0.2521246458923397,12,13.199409380246719,1.0081005482354444,1,1,3
2020,-1,402,8.429952773450962,3.389979265810763,7.3167678166185555,10.874091395969021,-1.0,-1.0,-1.0,-3.0,-6.70491892683787,3.0573114708995215,4.392315800934316,0.2860731518034033,2.389776746658448,0.47343720668291983,0.3009198423127562,22,3.726844131152381,4.469691882509867,0,0,0
2020,1,136,6.366360093636091,3.421569134131975,1.126423255011306,2.8140185713655526,1.0,1.0,1.0,3.0,5.873961746322624,1.3007034192208957,1.1058563762948368,0.21029163234786039,0.13027448584267562,0.4865591397849465,0.473118279569893,9,2.0197532342830753,5.2568361011158995,0,0,4
2020,-1,216,3.7772283461429277,3.0312523233512407,1.8341155097231285,3.639972453265632,-1.0,-1.0,-1.0,-3.0,-6.488161436922495,1.763848942933681,0.5328542751676705,0.1836971145449874,2.106276032629119,0.8866666666666788,0.05333333333334546,3,2.4975189919633816,3.029721988365114,0,0,1
2020,1,207,4.078342856631395,3.3168485372972705,2.2500245283864113,3.359777686653448,1.0,1.0,1.0,3.0,5.594903956903044,2.402311551971006,0.7595908910730783,0.1328187833315957,6.828488032200357,0.3814667424673099,0.005116543490627901,20,42.25755067821171,4.101462714095292,1,1,2
2020,-1,632,21.515811748195617,4.144926691604088,3.8515799492171534,5.383853401263137,-1.0,-1.0,-1.0,-3.0,-9.984738630513371,1.9064339026825494,1.6669300711596653,0.31197362345614804,6.4298138102173885,0.768894355610225,0.0009566762334250224,1,2.6107454255352502,2.5164346048082673,1,1,5
2020,1,129,2.872430217893191,3.1488567859236816,2.588096655808888,6.145572386072595,1.0,1.0,1.0,3.0,8.793192653492675,1.690182256564397,1.844583392464132,0.2584727033979918,4.387254019268031,0.877806477250156,0.05861315318893131,12,0.7652760678733515,6.277820554483884,0,0,2
2020,-1,487,4.605635134752225,3.2103358754128615,3.1268017133490766,5.013118569258854,-1.0,-1.0,-1.0,-3.0,-9.389435850802487,1.2643250768297232,1.290105861183604,0.23205713648700366,3.661427978187984,0.9993315508021244,0.0006684491978755518,4,1.218550940510169,3.953954091767436,0,0,1
2020,1,106,6.1170686024403285,3.1989036782058466,2.239300497729677,3.3082669904730717,1.0,1.0,1.0,3.0,8.863803249061307,2.031626910245771,1.2295285560323104,0.18196782971697614,1.0020744901996448,0.29440688383521363,0.22679778733868533,13,1.4001003660703106,5.54203835117142,0,0,2
2020,-1,258,4.569973222268983,15.947466885372387,17.19241798863123,17.516081818362842,-1.0,-1.0,-1.0,-3.0,-10.038034518818149,2.8378589167213306,2.6840986024625892,0.25872063142534973,9.801005444080745,0.6528145695364249,0.0,11,5.61743473716979,1.3013242165173071,1,1,0
2020,1,420,0.3601208246985935,3.9320428551018742,3.5507240192242087,3.7344866082759722,-1.0,1.0,1.0,1.0,5.801242016851818,1.5768011813974236,0.6519748580722035,0.1702307771421599,2.8880665124092673,0.6010482180293425,0.006498951781959873,22,1.569722921863772,7.709951263733412,0,1,3
2020,-1,121,6.613794132968748,3.2628415744597734,0.7191906905546339,2.9641697331390633,1.0,-1.0,-1.0,-1.0,-5.372556013220897,0.4583130127054346,0.7372628875999364,0.1512517454654944,1.588185498389592,0.9966536530953993,0.0,8,1.0956540477640964,4.67703967205079,0,0,1
2020,1,145,2.6045826463246855,4.294025299557858,10.52891849135544,18.06992815895097,-1.0,1.0,1.0,1.0,4.401152506161532,8.387331875872468,4.609546678027687,0.16912802134642885,2.856639685758586,0.7538028169014146,0.17492957746478976,20,5.099255840004322,2.370516219395343,0,0,0
2020,-1,152,2.486230737607739,3.147235128482945,4.219921539824445,5.3810427143750985,-1.0,-1.0,-1.0,-3.0,-5.877085184767809,2.9263211285401565,3.179588052026144,0.16595932945886432,0.20993003027485896,0.25180102915952784,0.2747855917667348,8,5.955696940199922,2.6710651077037726,1,1,4
2020,1,613,16.93157279497839,3.7865923701922024,5.167521280852738,10.142434406544664,-1.0,-1.0,1.0,-1.0,2.25068083354284,-0.419813746665478,1.8442204528787396,0.19863079298668643,1.448235715129866,0.7976256212037531,0.03589177250136101,11,6.6659170220886175,2.7132627074832203,1,1,5
2020,-1,151,1.1203725706696863,4.629285386360296,4.739413611156702,5.341041509943692,1.0,1.0,-1.0,1.0,-2.9059011949712024,3.1449893591013103,1.2788489218248391,0.20626412058537888,4.202078670083024,0.7598856598380174,0.011195807527378514,0,5.367703247269565,0.9685165885095474,1,1,2
2020,1,246,0.6327094559073124,3.521839898336807,2.6476327962340815,3.389574960332672,-1.0,-1.0,1.0,-1.0,2.216709175500027,0.591075663319363,0.6795432570945371,0.14179334081551032,5.338335578924241,0.6516129032258137,0.0,21,2.660236570256111,7.842908448127193,1,1,3
2020,-1,40,5.063868748365703,3.4109926987190207,3.3307429231306065,5.103135481856164,1.0,1.0,-1.0,1.0,-2.031106926898298,0.5274339831277046,0.8247141086393828,0.15619212102344268,0.22057495763894636,0.8713366690493709,0.0007147962830749417,0,1.1903209799259364,8.433878404986771,0,0,2
2020,1,69,6.335762593836041,3.0172652597998977,0.45729008257102166,2.2898503391191865,-1.0,-1.0,1.0,-1.0,2.2362061754024816,0.8177573169657064,0.48326036138540635,0.14014765319667175,0.34343476512142557,0.5016322089227776,0.13819368879220525,6,8.368068518421572,4.535501636800253,0,0,3
2020,-1,713,21.437666602661565,3.4734167017548354,2.224114242861658,3.5919639098502327,-1.0,-1.0,-1.0,-3.0,-6.731201955878384,2.178274356932134,1.9617688669702,0.28850986132908946,1.2038049078979183,0.40852490421454507,0.0,17,0.05278874991785668,20.195578369300762,0,0,5
2020,1,43,6.355066331905902,3.5633745385095397,0.8907823208026893,2.7673637432936764,1.0,1.0,1.0,3.0,6.576739324781388,1.0149971760270353,1.144513423339209,0.2679698152021682,-0.002077809488924582,0.9618842143114164,0.0,21,13.85320092006941,2.449958548524902,0,0,2
2020,-1,328,7.276981390597945,3.886792835701697,2.7804881258708076,4.74668121596313,-1.0,-1.0,-1.0,-3.0,-8.034005100999584,0.5628706797362344,1.5451294852642552,0.2511514301057622,2.912630485552252,0.5120023855673221,0.09393171313551961,0,1.5506485583492156,7.26750783650642,0,1,1
2020,1,85,6.897526465867146,3.020937052062621,2.0480971925353773,2.976209758638803,1.0,1.0,1.0,3.0,7.769058331147888,1.5580864218473156,1.0520486311697526,0.19443576480788877,0.572207235716599,0.5353955978584338,0.18441403926237107,7,2.4148469307061156,4.403189681596316,0,1,2
2020,-1,265,1.7349880741481305,3.351008198922346,2.4743546383643307,3.2112713465029783,-1.0,-1.0,-1.0,-3.0,-8.455421163277881,0.7076446487630854,0.9585513181681607,0.21729424742765713,1.464165199644524,0.8221614227086543,0.05950752393980146,5,8.45200346768014,1.4473749706392969,1,1,1
2020,1,205,0.29835330378292646,3.353222349982576,1.1858673144525222,3.3143917599235677,1.0,1.0,1.0,3.0,7.094782663609408,0.17670309197480694,0.8073545037517796,0.18311770753882978,1.9514975535564207,0.5009015506671671,0.0,22,4.0434418563270365,3.8948456583339963,0,1,2
2020,-1,153,2.9270116116256957,3.498136284024735,3.0634346911171684,3.6558823367963207,-1.0,-1.0,-1.0,-3.0,-7.811992842399162,0.6073113590179512,1.400638673335481,0.1671483532104991,3.599063815395366,0.6929032258064375,0.11612903225807625,11,2.2365699229314635,5.7054309488755495,0,0,1
2020,1,271,3.0718999011755983,3.4896897730619987,2.301471331711461,3.0056528585783653,-1.0,1.0,1.0,1.0,6.987015125133612,0.902996328985521,0.959982278766652,0.17321094923338057,1.1067183303429045,0.8336393683437786,0.056188027910351095,10,4.779601443682172,2.0732870738764606,1,1,3
2020,-1,156,1.508966528966262,3.342204174501605,1.3530080663170598,5.184934854743742,1.0,-1.0,-1.0,-1.0,-7.376214723740709,0.18446295513419034,1.1855034805949827,0.15593812532453233,0.53259847558145,0.7117863720074314,0.2859116022099132,23,5.817661073825134,18.643876570038795,0,0,1
2020,1,30,4.177311641079493,8.552788778875836,8.38474431486495,11.423269543986613,-1.0,1.0,1.0,1.0,6.426585620356467,4.920469815560887,2.9333960461595097,0.19758634082762466,8.597742293455463,0.920039263062518,0.0,1,3.7096429753798783,14.085017644697137,1,1,0
2020,-1,102,12.506319654729262,3.2372051507360724,1.8569773487418852,2.129319384512482,-1.0,-1.0,-1.0,-3.0,-6.47323927365865,1.2571089591575721,0.781189167253875,0.1949064744915899,0.5408713601614378,0.2757222503801637,0.006082108464216119,10,5.170655142845209,3.072633129378923,1,1,1
2020,1,516,7.234533569892861,3.093345625043719,2.150548511054441,2.664617983902341,-1.0,1.0,1.0,1.0,4.983083220889068,0.9699269197567226,0.857923761756175,0.1466901247564601,4.403230200215284,0.518819938962401,0.10986775178025791,5,18.32385169692911,1.4177417410204436,1,1,3
2020,-1,838,35.21816065940008,4.255912359815372,3.205956854758945,4.8849309517936605,-1.0,-1.0,-1.0,-3.0,-8.178875100524857,0.5669576111524923,0.5953248914142429,0.1453111133820925,6.4709923537534495,0.427426343154238,0.021447140381277836,2,3.8252331953915544,9.607973453810017,1,1,5
2020,1,71,5.92312231060572,3.3162455904918544,2.5008121845621263,4.395850496448828,1.0,1.0,1.0,3.0,7.699665999027082,0.9346135755124945,1.0013081538198068,0.14660562360647728,1.0967645027467416,0.5980803839231734,0.40131973605281823,8,4.164088212973853,4.509649941029309,0,0,2
2020,-1,540,13.95197839175298,3.4279146596445487,2.205494435131004,3.108650766573,-1.0,-1.0,-1.0,-3.0,-9.368833136711366,2.047173611902651,0.6886031346544838,0.16423106908480653,2.1840526710276693,0.3687500000000152,0.041249999999990905,5,18.30299913538002,0.4748991038568377,1,1,1
2020,1,367,12.012690475498236,3.973251438687882,4.090038002168755,5.497612748916062,-1.0,1.0,1.0,1.0,6.3712456801157895,1.6483981265211136,1.4060094301969701,0.16560684275714802,4.155512494672179,0.5355784899511,0.20423682781098576,12,32.684839492888344,1.5543245031414405,1,1,3
2020,-1,525,22.52895345162862,4.049408973414894,5.529025649744248,9.730123337167779,-1.0,-1.0,-1.0,-3.0,-9.160737806366603,0.21983921105346899,1.825498477445082,0.21403852287521474,4.253934283769798,0.9008536585365952,0.03841463414633703,8,8.941169894572813,10.97548112895807,1,1,5
2020,1,66,1.4928701995128597,5.53540904969201,7.266765235864209,10.38276587778865,1.0,1.0,1.0,3.0,7.6161926382271465,2.8883607082893263,2.6717854332197897,0.26144937508307814,3.536447338291162,0.9433606557377061,0.009344262295077196,13,3.1749104708758282,11.753791524253035,1,1,2
