prior_bars,prior_move,extension,runup,recent_pullback,l_mom,l_vol,atr_pct,vz,body,rejwick,t_1h,t_4h,htf_conf,e_far,year,dir,atr_pct_raw,mfe,mae,hwin,cl
100,5.068603718894003,3.6962981625500904,1.661782691017214,4.511123914332401,0.3641596013860767,0.4110407527461578,0.21022530260820732,1.7258480607549114,0.5077220077220359,0.14054054054052004,-1.0,-0.0,-1.0,0.34172384508581094,2020,-1,0.21022530260820732,18.544029532384744,2.2072736825775316,1.0,2
100,5.771783650574164,6.550017564336347,12.73765229947275,16.82903757848224,-0.3629216458592876,1.6417651179711112,0.30874416619198336,5.6101299208449085,0.7506382414376207,0.04910314644739732,-1.0,-1.0,-2.0,-3.7289403545220425,2020,1,0.30874416619198336,7.501842357400803,4.091832669417225,0.0,5
597,14.761532151447025,3.018546499678444,1.3261912458241765,2.297256456998091,-0.029200795625412702,1.319291695885846,0.5680990959272343,-0.256246776065682,0.8047138047137974,0.029629629629633485,-1.0,-1.0,-2.0,-6.151587452061017,2020,-1,0.5680990959272343,4.373034059157669,2.9192298707373334,1.0,4
117,2.4407453278122544,3.7715371349151114,2.8024836513511517,5.66426866721689,-0.05191655221518461,2.4004529511323565,0.5035264946249466,2.31154000899213,0.6024073182474741,0.29850746268656614,1.0,1.0,2.0,4.493573901467581,2020,1,0.5035264946249466,5.5291109739273985,3.0789762634003566,1.0,3
848,26.86115333574079,7.71212372383199,11.816153404658786,12.558102248331366,9.706360700461689,23.583212908506162,0.4342477861918275,8.92401664599355,0.7100809418690208,0.0,-1.0,-1.0,-2.0,-10.038034518818149,2020,-1,0.4342477861918275,5.893322793041044,2.6139673879729535,1.0,5
273,3.9017914453008333,3.4325817558820875,2.7324946449206053,2.813523501445639,0.5718093604379163,0.7360037681468401,0.29328776173548116,1.8721238213145617,0.555884917175254,0.0,1.0,1.0,2.0,5.750998041916842,2020,1,0.29328776173548116,0.14499900641319902,11.263786452735097,0.0,3
73,5.996782142061475,3.095124347710021,2.5973244097252337,3.41533328767955,0.7979032152445581,2.0428570370003714,0.2779316732877926,1.7402879215448324,0.757851076436923,0.0001975113568714092,-1.0,-1.0,-2.0,-5.248345920524807,2020,-1,0.2779316732877926,11.95888872903084,0.8021333226110072,1.0,1
315,8.142741385026763,3.329821942693072,4.434589652021255,5.022296719139138,0.4050844398989026,1.3755185162520502,0.29541287992898557,6.084354296566428,0.6429120456791619,0.12594707367958033,-1.0,1.0,0.0,2.3477971017175543,2020,1,0.29541287992898557,9.317355917810579,2.8981554622703536,0.0,2
647,29.66282333063813,3.268779717739672,3.1410049748048605,4.951662054233373,0.43106503888702025,1.117075754031778,0.3178401656783241,4.645653240773666,0.8169802333888956,0.0,-1.0,-1.0,-2.0,-7.29585236484999,2020,-1,0.3178401656783241,3.914723370866383,12.624736950028272,1.0,4
94,5.572415224688022,5.591157783954511,6.5653954169539,8.879750318588625,5.177434418144913,6.8528353816044865,0.33489289799501537,6.867883819255419,0.620515490757612,0.0,1.0,1.0,2.0,6.426585620356467,2020,1,0.33489289799501537,0.3970049575233713,10.127212871686456,0.0,5
57,8.09325073014614,3.141360497453042,2.1861097473526123,2.925203745780215,-0.3078777748683123,0.1449541881658977,0.3455700075041338,1.0191361550347162,0.7288909173893364,0.1989958922866135,-1.0,-1.0,-2.0,-6.29674046041694,2020,-1,0.3455700075041338,5.5536476912638735,2.644653514407433,0.0,1
171,1.7423471292817967,3.895611958490204,4.082745957299268,4.907500974392978,1.8752951917148206,2.6378440973495034,0.30665813037595857,3.2642146055716306,0.5742737536470948,0.2304960040593694,1.0,1.0,2.0,5.223224740033951,2020,1,0.30665813037595857,14.62236403408814,0.2969396225118318,1.0,3
461,21.165082710051983,5.022017275501097,6.818783797211592,9.190845121795874,1.0910184989984426,0.7777492026111769,0.32703234013966787,8.348423554638998,0.6765064102564093,0.0031730769230762235,-1.0,-1.0,-2.0,-9.368833136711366,2020,-1,0.32703234013966787,3.7432686103700186,5.731317389670836,0.0,4
134,1.3954603066391915,4.105361706696081,4.124061764367111,5.725725159224659,2.715920188018589,2.8902573852721267,0.3268568973911665,6.858117534302284,0.9417797412433,0.0,1.0,1.0,2.0,6.3712456801157895,2020,1,0.3268568973911665,14.204490660706798,0.3210658455074018,1.0,3
386,5.837429557017003,7.742409093643906,7.788708239744836,7.897537964482166,1.2449888414081072,1.7591310212852818,0.3663617665826573,9.668441578783986,0.5170588235294096,0.0,-1.0,-1.0,-2.0,-7.199115094803683,2020,-1,0.3663617665826573,4.404322553629047,3.2216879820486373,0.0,5
292,2.16665817119409,3.514699522400206,2.340037369640894,7.102496318654381,0.8937257516505428,3.558867854255281,0.4327975839918207,1.0287647180660866,0.7659746018947703,0.09877040919172339,-1.0,1.0,0.0,3.2307683413335577,2020,1,0.4327975839918207,7.952403476678063,1.1701350466986018,1.0,2
116,0.01404289749537022,7.7466035712239885,10.048473318893087,11.663211490615078,10.762086271280555,26.988538661889798,0.5331331689126301,9.197985596487372,0.48752393207997125,0.004111609805092112,-1.0,-1.0,-2.0,-4.92975320432321,2020,-1,0.5331331689126301,4.5721333761935625,1.6966550737781627,1.0,5
312,5.2314297030095815,4.584403004143232,4.495105091071377,5.0050490510413335,2.5943659351897614,3.7312753388271616,0.2606977608928526,6.383649725468013,0.6510997288339841,0.18017475143114298,-1.0,1.0,0.0,1.3533837866007647,2020,1,0.2606977608928526,8.816312241876629,9.157058205911799,1.0,2
109,2.052338419183692,3.206775890263407,1.9837630827153585,2.2547833120112486,0.5473663126247356,0.6703564490916349,0.31422395451382745,1.2050326280361137,0.5941634946528692,0.0021750951604277723,1.0,-1.0,0.0,-1.825330799620998,2020,-1,0.31422395451382745,6.952357915920705,4.8865669187694865,0.0,1
685,26.769849376087294,3.0560959312632727,1.867093584464397,3.5837733249964496,0.3428023616760501,2.143333282855797,0.41996527597653294,0.7033087952314945,0.6525037936267287,0.0,-1.0,-1.0,-2.0,-4.176621448970827,2020,1,0.41996527597653294,6.362069616181317,0.7686910393716005,1.0,4
507,11.963623578886123,3.8275658325754818,5.46042686510078,9.141039557529613,5.16161517692106,6.193095493166363,0.29039065357690663,7.087780754494051,0.5581395348837209,0.0,-1.0,1.0,0.0,0.49184730758053186,2020,-1,0.29039065357690663,32.648874312074064,0.618364440656429,1.0,5
787,37.01792092581843,5.374338629984142,7.020732447360239,8.181842004552017,2.1438252659850066,12.119612725550166,1.5192874682289426,5.397044228928048,0.7033775070650544,0.15658353225231067,-1.0,-1.0,-2.0,-11.73751955100621,2020,1,1.5192874682289426,0.11785027865869813,16.61064556750425,0.0,4
33,8.392698815615992,4.171895398427503,2.854827936314911,3.5999425305762776,1.824925842946842,15.979232819216755,1.7716045727062215,3.642866917193826,0.5232062862598212,0.0025335977087482886,1.0,1.0,2.0,11.44290174823807,2020,-1,1.7716045727062215,6.760966523152091,4.523934159175361,1.0,3
301,6.262689205090324,3.5544007715225066,1.705397981649995,2.5599782719583404,0.6879021126766717,1.3471262062971463,1.1563864362829004,2.2059046558617617,0.6525027238351577,0.05556623726206555,-1.0,-1.0,-2.0,-8.538020463679208,2020,1,1.1563864362829004,19.848493424048367,0.9712208582755757,1.0,1
330,5.742400619524056,3.0472435354423766,0.6739466940002166,2.374541082733654,-0.17299734522543353,2.243624298526636,1.2646281530612722,-0.6196914907869333,0.6222594142259311,0.2505439330543976,-1.0,1.0,0.0,4.820627240785804,2020,-1,1.2646281530612722,3.1803323633456495,9.53430447142719,1.0,0
67,4.386103219273921,3.5557142936181636,5.489460315683692,7.154915405048674,0.4252577297613584,7.305418131309593,1.1549634598448408,1.8622790161037812,0.37220134008825084,0.05205098872364672,1.0,-1.0,0.0,-5.389068801498343,2020,1,1.1549634598448408,7.8132035038447265,1.8937168326372447,1.0,1
428,8.737487006150925,7.903998749223686,7.903005107008203,9.008911910864615,0.9089976226744534,0.3063320833937533,0.6333724987945463,5.79059377898607,0.9035989322860761,0.01135213082563687,-1.0,1.0,0.0,1.9487254567231183,2020,-1,0.6333724987945463,8.102332771407312,1.1563000306506932,1.0,5
222,2.9711906162963637,3.5207835432764316,2.033469909651915,7.780099714491754,1.2334668289108701,6.709907591886492,0.623818304214728,2.3439507971035662,0.63743402354852,0.053593179049934825,-1.0,-1.0,-2.0,-4.098661347047458,2020,1,0.623818304214728,8.077550126194412,1.6947281811576311,1.0,1
212,0.04583728652811119,3.47099562521956,2.044629462194092,2.6044173239185215,-0.646731038974079,2.098036701735248,0.5610033976827541,6.834679221120793,0.43789808917197454,0.29407643312101955,1.0,1.0,2.0,2.73804921685976,2020,-1,0.5610033976827541,2.351452798891567,15.12401268994685,1.0,3
41,3.906065379406048,4.102826149531115,3.5307119170276673,8.24444014997474,0.5826214679732725,3.46763788279599,0.5574444862317268,3.6429099482011367,0.6892647058823513,0.0,-1.0,-1.0,-2.0,-3.101051363066479,2020,1,0.5574444862317268,23.150779131118007,0.0,1.0,1
790,23.228647676911066,3.0424900897572,2.2312134785366853,3.624560779870994,0.8278269674556196,3.066464953128894,0.45025229474756884,1.6311737654427623,0.6140032650099818,0.06058407400689532,-1.0,1.0,0.0,-1.4780574906174218,2020,-1,0.45025229474756884,13.37427629640757,0.002786694602673123,1.0,4
237,8.22713394580311,3.612077358501764,3.724929427419375,5.646331666795293,0.08301784813734434,2.2393968784334697,0.36778752447729424,0.4675663188733694,0.8652769135034506,0.03578095830739443,1.0,-1.0,0.0,-0.5588721467585523,2020,1,0.36778752447729424,7.190767157850595,16.77249162754664,1.0,1
36,2.743481633372988,3.5606818979717825,4.947678116064892,9.431917730080675,4.461007958278284,5.068617659059301,0.4729431993211822,3.9600475869674563,0.7480549930725744,0.008526057764043297,-1.0,1.0,0.0,0.28423395891501857,2020,-1,0.4729431993211822,8.420525888935384,1.8692329160805858,1.0,5
162,2.897475667136175,3.058387804646714,1.8520222899013483,3.009350751784905,0.4457643142839814,1.6905781531945168,0.4853977008700591,0.8792034573768654,0.4588344125809428,0.36879432624113256,-1.0,-1.0,-2.0,-0.20992006128923182,2020,1,0.4853977008700591,0.9849161961516879,8.021473244403682,0.0,0
78,5.404691889774527,4.316736524814446,3.835085634985851,4.727697759200964,2.570342225627436,6.178174792019427,0.4491389115193207,4.935305621687435,0.5920274057925858,0.0024914356898139926,1.0,1.0,2.0,0.8362486555306698,2020,-1,0.4491389115193207,8.509789724474619,14.90446960656044,1.0,3
76,1.2363294663677364,3.303780217304035,7.1167202824606965,7.71737370583013,3.4979082268617874,7.391800046425193,0.46999071097247785,6.997341574162444,0.7839996564606854,0.01700519603212109,-1.0,-1.0,-2.0,-1.5030283431464402,2020,1,0.46999071097247785,10.10139131808898,0.33194004975679103,1.0,5
398,10.43099401819887,3.302335257808451,3.759453882030328,5.343828383882511,2.5768504220219817,5.7424502908612425,0.3350092724017637,6.3905350088864905,0.6343483556638209,0.0,-1.0,1.0,0.0,-1.2327233753359264,2020,-1,0.3350092724017637,13.677545239234654,1.2930390249970458,1.0,2
203,4.1728180110313975,4.647247458238085,3.51081540835346,4.534945581532983,1.7777807832933985,3.770882317992753,0.3741307894870781,6.342246083823097,0.7328286852589662,0.0,-1.0,-1.0,-2.0,-0.04147356765727683,2020,1,0.3741307894870781,5.182523815574585,0.8149768279527421,1.0,1
1104,33.91066386074048,3.668512295878188,3.727359264303881,4.891673903299263,2.186856950201078,3.2829096943350478,0.5917884189842497,4.744703150442191,0.5136452858861562,0.0,-1.0,-1.0,-2.0,-7.3799085104151665,2020,-1,0.5917884189842497,3.530201985433999,4.7934833687439955,1.0,4
110,4.7278227304556015,4.448442980586752,4.076273462517235,4.824737013065898,1.1461204545078587,4.134591240806121,0.526751293843772,5.581817644079452,0.744735162731335,0.0,1.0,1.0,2.0,6.65799496152471,2020,1,0.526751293843772,1.4300100964378377,5.954984101170189,0.0,3
410,10.715412767109388,3.1136225299712623,2.681474333858408,3.0951549331756993,1.0081359047488685,0.914808993340183,0.5685459498686074,0.830052992468352,0.8143037829136721,0.04518799586062437,-1.0,-1.0,-2.0,-8.140702538349188,2020,-1,0.5685459498686074,29.83908145062262,4.463850948969381,0.0,1
386,10.173022675318391,3.234059190573042,2.226111998647131,2.621527426934404,1.1244420632599776,2.241471972053591,0.6480286754782039,2.2884548727609966,0.8192205917729041,0.010223719028149744,-1.0,1.0,0.0,2.9008834037289204,2020,1,0.6480286754782039,15.63761265250843,0.8793082612625904,1.0,2
227,4.862554339816256,3.6089331269561145,3.7723150025336905,4.703895076633318,0.04009184612697939,2.849325062988886,0.7240748422804835,3.2635582765288658,0.5153703703703758,0.046777777777774816,-1.0,-1.0,-2.0,-4.120289885069266,2020,-1,0.7240748422804835,0.5123840227437454,5.495093914092317,0.0,1
158,6.137616132270511,4.630847377600549,3.4863851271979316,4.737378535590838,0.8584938663673806,1.726252476345945,0.505360940927381,7.352439225190232,0.8906779190494672,0.002998167786357622,1.0,1.0,2.0,4.560860962935068,2020,1,0.505360940927381,5.720754625535217,4.678703080743827,1.0,3
303,1.4770409555830655,6.400557344088535,7.848047279568875,8.458266856642966,1.4972076354085344,3.007762033134617,0.48744515034476454,6.5063079424520405,0.6098944430963344,0.0,-1.0,-1.0,-2.0,-4.700595672830146,2020,-1,0.48744515034476454,10.418861589271575,4.026053922767894,0.0,5
650,14.752460366255745,3.139476861166429,1.6707780031905681,4.458321747283337,-0.2358146860505367,1.190949308300412,0.3693360086675744,2.003237626509261,0.8689374824782682,0.0,-1.0,1.0,0.0,0.1033455017022467,2020,1,0.3693360086675744,8.962760946215289,0.11032017845349458,1.0,2
594,25.713680402237237,5.163568489743821,12.907963704225693,13.563364796118643,12.35004793472086,34.30727520160325,0.4704161489880116,6.397950213833656,0.699263774441561,0.006659893893215304,-1.0,-1.0,-2.0,-5.693104597183786,2020,-1,0.4704161489880116,7.104503477331799,1.3203393231942029,1.0,5
186,1.7601586119301904,3.065502748520844,3.1803700039752707,8.217461700612175,0.9431620155386097,1.8054494951942828,0.36396174229109857,4.2211291406783245,0.6394702793211112,0.010731410305197205,1.0,1.0,2.0,2.7147325603285286,2020,1,0.36396174229109857,4.3187979031254375,4.249904944942772,1.0,3
139,3.1193844477187236,3.675719567019715,2.5832616701107725,3.7586183068512233,1.3534421363009823,1.9190171809746526,0.3808967128847339,2.6165518909607766,0.48062534896705084,0.010161920714682991,-1.0,-1.0,-2.0,-2.4679302661830436,2020,-1,0.3808967128847339,1.195649775125604,4.529483333887488,0.0,1
175,2.47073167815406,4.563778430827282,7.679690198549314,9.45259536680355,2.897991397426234,3.0243774471991056,0.3412530737551256,6.563168061225877,0.6513080168776396,0.05963431786216801,1.0,1.0,2.0,1.631062964733728,2020,1,0.3412530737551256,1.3269799339521533,4.220845778616171,0.0,5
358,2.305288932931203,3.0957431244435556,3.1662385344160744,3.647792061515268,1.4423817884535708,1.679537823419453,0.32114328977542134,1.6862412535280238,0.10435951030157999,0.05957002090175885,-1.0,-1.0,-2.0,-2.8184242983947745,2020,-1,0.32114328977542134,20.49349176400221,0.0,1.0,1
407,7.467432543686856,3.1522335304928486,2.2636634623287795,3.9754925336649607,0.7422210369314117,1.048296905296085,0.3994276100679611,0.34741097804616944,0.29104281586551123,0.0,-1.0,1.0,0.0,-0.2421277274648086,2020,1,0.3994276100679611,4.569571348426326,1.4084131471601886,1.0,2
195,1.8930865510404467,4.844438582987344,3.4181568081784337,4.417872902826735,0.5932154477229451,0.3888788720939356,0.3207414856240904,3.939684809800308,0.7819444444444275,0.11250000000000655,1.0,-1.0,0.0,-0.29290440329142625,2020,-1,0.3207414856240904,2.0994037987614815,6.382080196171049,1.0,1
417,4.585082991642065,3.0309602148008397,1.592484326154083,4.277714968624119,0.4985776954724435,0.29518003739687293,0.20078364023590947,1.1960554494247384,0.9994469026549558,0.0005530973450442107,-1.0,1.0,0.0,0.22995511368767033,2020,1,0.20078364023590947,21.032451892313087,1.4902049667704647,1.0,2
207,8.01979100933422,3.2292024519681917,6.476702677907371,7.376760213375855,1.7139039381066583,2.5948789255123357,0.2264332139264361,4.91651833189739,0.7214434420541304,0.05648854961831714,-1.0,-1.0,-2.0,-2.0215402241895486,2020,-1,0.2264332139264361,23.846885218082953,1.708717475840454,1.0,1
533,13.68260720783588,4.615282154702497,3.052140004730423,3.7262099222097484,0.6304049305155619,1.5861559216613383,0.26780153937477724,4.277126787372756,0.8158553011352736,0.0015393496247821483,-1.0,1.0,0.0,-1.1459844996769744,2020,1,0.26780153937477724,0.38419961062330904,6.458925803882452,0.0,2
264,1.1553464661130364,6.534148491767683,9.31255445888636,9.606919636768826,6.8124854459668,6.285990217496374,0.22453905473996308,8.795020967272235,0.7274074074074051,5.2910052911207825e-05,1.0,-1.0,0.0,0.7542022018968936,2020,-1,0.22453905473996308,6.217051528199026,4.299500736717497,1.0,5
202,0.7873442510507785,4.038210321904173,5.945646071490636,6.9803653743917815,5.508322092318368,5.41157057439666,0.16424141599706785,9.495817312536625,0.7856180207932171,0.00231035810550427,-1.0,1.0,0.0,-1.6797543143580018,2020,1,0.16424141599706785,2.528944414481525,11.268864593164071,1.0,5
53,5.4831225228349725,3.26505174659819,4.5138381057300965,4.959597844828504,0.15663069014098363,0.15082205098125193,0.158966813621778,0.3447358023518479,0.6783579115185467,0.09884416102030885,1.0,-1.0,0.0,1.1460676172502648,2020,-1,0.158966813621778,11.108582657064371,11.943167090703465,1.0,1
93,2.9818290426385388,3.972038378836475,3.5998662870077998,4.0797337949271775,0.7070724788024294,0.34489855678776543,0.1907020437375275,1.5880738768044766,0.799302325581414,0.11627906976744186,-1.0,1.0,0.0,-1.4059897681185063,2020,1,0.1907020437375275,13.394437977920333,0.45865472680461855,1.0,2
324,7.598702725015652,4.339950795539043,6.331252704584261,8.763697203574756,4.378654096510384,2.057598682696448,0.21608460925417772,7.50003820504216,0.40847169008089224,0.0008514261387816777,-1.0,-1.0,-2.0,-1.276048363998743,2020,-1,0.21608460925417772,6.9085022209873514,0.4403089384858225,1.0,5
316,0.08906674083446052,4.708087392481603,5.69161214693347,9.951971250180275,1.6915667867105186,1.5710219750147008,0.17354899910370153,3.0252189442617716,0.7724381625441644,0.0,1.0,1.0,2.0,-0.35410550195052987,2020,1,0.17354899910370153,1.7998903876957755,7.168635599104369,0.0,3
121,6.107052295323199,4.355285746675715,2.516242848173097,3.60128167172055,2.4764287092032715,2.2525300202794476,0.18716387045877947,5.406761784915386,0.4522314049586873,0.025950413223135686,-1.0,-1.0,-2.0,0.38723527247755607,2020,-1,0.18716387045877947,3.931156745689143,5.552024393090391,0.0,1
440,1.0296209209994107,3.6101003234874205,2.5372459835953833,2.9531095867845782,1.5479868911754409,0.9117883218991742,0.11379771096820133,2.4917591249634343,0.7156238291494748,0.0,-1.0,1.0,0.0,-0.7281500408152313,2020,1,0.11379771096820133,1.2552388758331257,8.019953487709978,0.0,2
64,3.9794377981334543,4.336961026742001,4.647579941642737,4.647579941642737,3.119217231557178,1.8076477867493626,0.10441135395883976,8.080203394245276,0.8096066072592876,0.0,1.0,-1.0,0.0,0.875708979653116,2020,-1,0.10441135395883976,0.7101636619689438,12.903757781012203,0.0,5
49,5.731952849555558,3.5307330328229636,1.3285851414462682,3.483424658180667,2.113147715905479,0.7703117231738194,0.10917551441963622,3.7354632525994513,0.6190476190476054,0.026761117670220186,-1.0,1.0,0.0,-0.739906568681087,2020,1,0.10917551441963622,4.9425759313069015,5.879462677713091,1.0,2
1272,36.34924873915221,6.599170967877609,11.660963741878394,14.846846541579994,1.593380799923218,5.918161462064854,0.6879467503623954,9.022581115881172,0.6119827012641392,0.03014637391882867,-1.0,-1.0,-2.0,-14.924823809992173,2020,-1,0.6879467503623954,1.6729509513368899,5.2010162809526435,0.0,4
309,7.98626537389129,3.1962132243708443,2.422555251601041,2.8040654807950074,0.4095122837445347,1.7468255673345143,0.37910883409791707,0.6392778823575505,0.7996575342465678,0.006278538812818455,1.0,1.0,2.0,7.047999218365204,2020,1,0.37910883409791707,9.527344595638409,0.5959795939379503,1.0,3
