t,year,dir,netpct,R,eq
2020-01-01 02:30:00+00:00,2020,1,-0.5585291350782872,-0.2792645675391436,9972.073543246086
2020-01-01 22:40:00+00:00,2020,-1,2.92,1.46,10117.665816977478
2020-01-03 04:40:00+00:00,2020,1,2.92,1.46,10265.38373790535
2020-01-05 21:30:00+00:00,2020,-1,-1.2857419893457323,-0.6428709946728661,10199.39056336249
2020-01-06 02:00:00+00:00,2020,1,2.92,1.46,10348.301665587584
2020-01-07 15:50:00+00:00,2020,-1,-1.64091079737255,-0.820455398686275,10263.398465899929
2020-01-07 16:25:00+00:00,2020,1,2.92,1.46,10413.244083502068
2020-01-08 16:35:00+00:00,2020,-1,2.92,1.46,10565.277447121198
2020-01-09 20:05:00+00:00,2020,1,-2.08,-1.04,10455.398561671138
2020-01-09 20:50:00+00:00,2020,-1,-0.7229630766083605,-0.3614815383041802,10417.604226114576
2020-01-10 12:35:00+00:00,2020,1,2.92,1.46,10569.701247815849
2020-01-11 22:05:00+00:00,2020,-1,-1.551272143068525,-0.7756360715342625,10487.718832284383
2020-01-12 09:25:00+00:00,2020,1,-0.9309449361178589,-0.46547246805892944,10438.901388592669
2020-01-13 03:25:00+00:00,2020,-1,-0.7032928351604938,-0.3516464175802469,10402.193365824949
2020-01-13 20:40:00+00:00,2020,1,2.92,1.46,10554.065388965993
2020-01-16 01:20:00+00:00,2020,-1,-1.3442439458903088,-0.6721219729451544,10483.129196447753
2020-01-16 12:05:00+00:00,2020,1,0.6559501208352937,0.32797506041764685,10517.511245763462
2020-01-18 04:40:00+00:00,2020,-1,-1.258712815292382,-0.629356407646191,10451.31861481334
2020-01-18 13:30:00+00:00,2020,1,-2.08,-1.04,10342.624901219282
2020-01-19 11:00:00+00:00,2020,-1,-0.46326472066649854,-0.23163236033324927,10318.668035040173
2020-01-20 22:00:00+00:00,2020,1,-1.2722700110575613,-0.6361350055287807,10253.027375564974
2020-01-21 08:05:00+00:00,2020,-1,-1.1462182535080556,-0.5731091267540278,10194.266339907022
2020-01-21 20:10:00+00:00,2020,1,-0.5777659054451466,-0.2888829527225733,10164.816842295897
2020-01-22 08:50:00+00:00,2020,-1,2.92,1.46,10313.223168193417
2020-01-24 11:55:00+00:00,2020,1,-0.6972355451633304,-0.3486177725816652,10277.269439303085
2020-01-25 00:30:00+00:00,2020,-1,-0.4234708850741375,-0.21173544253706875,10255.50881737505
