open_time,open,high,low,close,volume,close_time,quote_volume,trade_count,taker_buy_volume,taker_buy_quote_volume
2025-06-22 06:30:00+00:00,102914.65,102914.66,102914.65,102914.66,0.00119,2025-06-22 06:44:59.999000+00:00,122.468441,2,0.00119,122.468441
2025-06-22 06:45:00+00:00,102707.29,102823.26,102707.29,102823.26,0.00099,2025-06-22 06:59:59.999000+00:00,101.7555976,2,0.00065,66.835119
2025-06-22 07:00:00+00:00,102817.75,102817.75,102643.24,102643.24,0.00145,2025-06-22 07:14:59.999000+00:00,148.850149,5,0.0001,10.281775
2025-06-22 07:15:00+00:00,102643.24,102643.24,102643.24,102643.24,0.0,2025-06-22 07:29:59.999000+00:00,0.0,0,0.0,0.0
2025-06-22 07:30:00+00:00,102616.51,102621.92,102468.83,102471.46,0.04364,2025-06-22 07:44:59.999000+00:00,4477.9296746,6,8e-05,8.2022306
2025-06-22 07:45:00+00:00,102275.39,102516.65,102275.39,102516.65,0.001,2025-06-22 07:59:59.999000+00:00,102.3362361,7,0.00019,19.4637101
2025-06-22 08:00:00+00:00,102515.76,102515.76,102503.35,102503.35,0.00537,2025-06-22 08:14:59.999000+00:00,550.5091348,2,0.00537,550.5091348
2025-06-22 08:15:00+00:00,102503.35,102503.35,102503.35,102503.35,0.0,2025-06-22 08:29:59.999000+00:00,0.0,0,0.0,0.0
2025-06-22 08:30:00+00:00,102473.11,102603.38,102473.11,102603.38,0.00054,2025-06-22 08:44:59.999000+00:00,55.3993117,2,0.00049,50.2756562
2025-06-22 08:45:00+00:00,102504.76,102643.61,102504.76,102617.74,0.00764,2025-06-22 08:59:59.999000+00:00,783.166681,3,8e-05,8.2114888
2025-06-22 09:00:00+00:00,102617.74,102617.74,102617.74,102617.74,0.0,2025-06-22 09:14:59.999000+00:00,0.0,0,0.0,0.0
2025-06-22 09:15:00+00:00,102553.31,102553.31,102293.38,102303.86,0.04817,2025-06-22 09:29:59.999000+00:00,4935.621306,18,0.0,0.0
2025-06-22 09:30:00+00:00,102336.58,102336.58,102291.75,102291.75,0.03413,2025-06-22 09:44:59.999000+00:00,3491.9712358,3,0.0,0.0
2025-06-22 09:45:00+00:00,102273.11,102366.02,102133.6,102139.17,0.022,2025-06-22 09:59:59.999000+00:00,2247.461775,14,0.00039,39.8937125
